filename,hugo_title,descriptive_title,link,topic_complexity,infographic_type_complexity
assignment-infographics-001.md,Assignment - Infographics - 001,Classroom Management Strategies,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-001/,2,3
assignment-infographics-002.md,Assignment - Infographics - 002,Lesson Planning Approach,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-002/,2,3
assignment-infographics-003.md,Assignment - Infographics - 003,Career Path in Education,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-003/,1,2
assignment-infographics-004.md,Assignment - Infographics - 004,Student Assessment Methods,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-004/,2,2
assignment-infographics-005.md,Assignment - Infographics - 005,Choosing a Mode of Transportation,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-005/,1,2
assignment-infographics-006.md,Assignment - Infographics - 006,Planning Weekend Activities,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-006/,1,2
assignment-infographics-007.md,Assignment - Infographics - 007,A Student's Daily Routine,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-007/,2,4
assignment-infographics-008.md,Assignment - Infographics - 008,Educational Content Engagement,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-008/,2,4
assignment-infographics-009.md,Assignment - Infographics - 009,Learning Progression,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-009/,2,4
assignment-infographics-010.md,Assignment - Infographics - 010,Classroom Behavior Management,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-010/,2,4
assignment-infographics-011.md,Assignment - Infographics - 011,Reading Pathways,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-011/,2,4
assignment-infographics-012.md,Assignment - Infographics - 012,Surah Ad-Duha,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-012/,3,2
assignment-infographics-013.md,Assignment - Infographics - 013,Surah Al-Hujurat,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-013/,3,2
assignment-infographics-014.md,Assignment - Infographics - 014,Story of Prophet Yusuf,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-014/,4,2
assignment-infographics-015.md,Assignment - Infographics - 015,Story of Prophet Musa,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-015/,4,2
assignment-infographics-016.md,Assignment - Infographics - 016,Prophet Yunus,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-016/,4,2
assignment-infographics-017.md,Assignment - Infographics - 017,Evolution of Smartphones (2000-2024),https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-017/,1,3
assignment-infographics-018.md,Assignment - Infographics - 018,Benefits of Regular Exercise,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-018/,2,2
assignment-infographics-019.md,Assignment - Infographics - 019,Rise of Renewable Energy,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-019/,4,3
assignment-infographics-020.md,Assignment - Infographics - 020,Cybersecurity Essentials,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-020/,3,2
assignment-infographics-021.md,Assignment - Infographics - 021,Pablo Picasso: Art World Innovator,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-021/,3,3
assignment-infographics-022.md,Assignment - Infographics - 022,Baby's Day Out,https://talhamansoor.com/ict-study-guide/practical-ict-exercises-and-assignments/assignment-infographics-022/,1,2
